id_trainer_scenario,id_trainer_params_scenario,id_path,id_generation,agent_id,strategy_param_1_mean,strategy_param_1_cov,strategy_param_2_mean,strategy_param_2_cov,strategy_param_3_mean,strategy_param_3_cov,share_rock_mean,share_rock_cov,share_paper_mean,share_paper_cov,share_scissors_mean,share_scissors_cov,utility_mean,utility_cov
0,0,0,3,56,31.077723567350127,0.9093055511392146,51.70651505628318,0.486567296531,64.03547221633627,0.22352180387279544,0.20500000000000002,1.1019026948090527,0.30000000000000004,0.6666666666666666,0.495,0.39584999947956506,13.66170021817995,0.9206919666496388
0,0,0,3,57,58.82778399156236,0.3634886120731366,63.229930295344026,0.5656461941945456,41.64338509102971,0.7180896086003813,0.385,0.6092906148916121,0.33,0.6068575302787026,0.285,0.8838161778731307,-1.7608706899990128,-9.492400106012052
0,0,0,3,58,35.192433607127285,0.6368680164043754,27.09736836536934,0.7248955317837614,69.36102207666767,0.387604620707919,0.2500000000000001,0.6155870112510922,0.21000000000000002,0.7230044328726173,0.5399999999999999,0.3028037824672695,-0.6011615480605236,-22.02551776618686
0,0,0,3,59,43.41256668642561,0.3873918630351316,21.40282430665638,1.5228108374470348,29.1672780613469,0.9962811578401922,0.5549999999999999,0.5436138331951988,0.19,1.2182698254271462,0.255,1.1484450005032376,9.749309093714833,1.693033860999121
0,0,0,3,60,50.65855179182004,0.3147630363484505,48.6574228797807,0.6627382476423208,58.17437190856767,0.5725532679791286,0.39499999999999996,0.5094838429746357,0.30500000000000005,0.6335772288774111,0.3,0.5823927253578187,0.39242792980338737,51.77350439904184
0,0,0,3,61,56.1582244132891,0.5593682561853038,31.99390155040631,0.9860294089237868,47.42824598719155,0.725514876261843,0.45999999999999996,0.5703865023939668,0.20999999999999996,1.123690576093264,0.32999999999999996,0.6225818330182075,4.793388317633817,3.4767988100133667
0,0,0,3,62,61.54358694217128,0.2597675346979855,75.901506000847,0.19896897000956998,17.460792211341392,1.4781382648283787,0.43,0.512295102965901,0.4600000000000001,0.45381676561203865,0.11000000000000001,1.7424415781676965,8.710371883143157,1.6540187933157253
0,0,0,3,63,70.25716097695594,0.2792566822398399,52.34609707272632,0.5096143260260867,46.42414786959576,0.7057093503792008,0.425,0.4030479395746092,0.30999999999999994,0.8366174766489847,0.265,0.8851957989934741,-10.004787221598637,-1.1453939118709697
0,0,0,3,64,33.195467483727185,0.4957288392337814,63.013084412400985,0.3468650905610269,41.44081988577962,0.7059823810030307,0.23000000000000004,0.7206603279822814,0.4699999999999999,0.4260914574297274,0.3,0.6488856845230502,1.1544666441796938,13.923207175201785
0,0,0,3,65,68.26164652476587,0.35312390884576594,19.255027428569043,0.35536280460247616,48.476655392447434,0.4325099392362348,0.485,0.46958019866984424,0.16,0.6846531968814576,0.35500000000000004,0.6988676849694819,6.723335494383555,2.2012116222807387
0,0,0,3,66,35.86220686806481,0.11106525456872574,28.6290179865967,0.7456139059714112,60.82945590194797,0.2788655306719631,0.34500000000000003,0.46524364813471025,0.17,0.8766586122006995,0.485,0.39731043354424755,7.250623952864882,2.3034480194150118
0,0,0,3,67,56.520109565264555,0.34369910129011505,54.00829488088459,0.4523071469348585,24.233617736912827,0.665807908556625,0.48,0.512989176042577,0.39000000000000007,0.46986049497323773,0.13000000000000003,1.090715609995228,-1.616876148220634,-11.225792604669765
0,0,0,3,68,42.901106351679935,0.6386799707702978,30.797126936741286,0.800460259284722,43.7402670824687,0.590401321757846,0.35,0.8107759739373577,0.24999999999999994,0.7840515557699401,0.4000000000000001,0.7299963950884313,-4.06037346675105,-4.624639808619422
0,0,0,3,69,41.79713021499693,0.7383390988038978,58.58145139106817,0.318073297956972,54.835984697102596,0.38888328324942295,0.25,0.7283723744002607,0.325,0.5810245571145016,0.425,0.5551041286990936,0.4436866764832388,30.967362030140468
0,0,0,3,70,50.77977959989188,0.3974711861503188,13.703598302817245,0.9048598875296631,69.69687638860204,0.3049473310594007,0.4549999999999999,0.44801016719397907,0.065,1.5999844284511657,0.4800000000000001,0.4306852285392096,0.7172497346309898,9.406040540459236
0,0,0,3,71,58.52736464305906,0.4660333013946659,51.70253644600727,0.5077154483960723,80.5984887837463,0.24560476351715163,0.24499999999999997,0.9408280927801876,0.25,0.5581925719394886,0.505,0.32426786755878434,11.001248239280667,1.369260869920285
0,0,0,3,72,58.93802129852899,0.4536063918492166,41.27994753598854,0.5963618802339151,63.259078756515905,0.5398025984176693,0.35000000000000003,0.503478768204006,0.225,0.6096473698209193,0.425,0.5113891365933367,-9.43097565975143,-1.999383943822455
0,0,0,3,73,50.90777819799055,0.5905701956552403,47.9595147347161,0.3640368410907456,18.050772133515604,1.0417965213071192,0.38499999999999995,0.6092906148916121,0.43999999999999995,0.36423395872092357,0.175,1.185302039033898,-3.0358286927884164,-3.049729413323663
0,0,0,3,74,49.191293370204775,0.5453821532147652,16.074886088066464,1.275816839571381,55.425798024284724,0.24793639643583731,0.365,0.4726575937571373,0.11000000000000001,0.9737753152069047,0.525,0.30821973212317205,2.9714275552161116,6.355857868289295
0,0,0,3,75,40.97680574517284,0.8867298636489107,48.69630627014079,0.3395251885258602,61.9531891914123,0.3903002475083217,0.22000000000000003,1.0695679695948717,0.3549999999999999,0.6363100068615657,0.4250000000000001,0.5056591054668556,-0.6280346091488644,-20.553373875906132
0,0,0,3,76,16.26939185079288,0.6518073891443964,55.20835639288166,0.30969704572139184,21.81841056456629,0.46282567048913226,0.18500000000000003,0.948887926606115,0.61,0.29565661618431616,0.205,0.6021346541328029,7.396049732492917,2.393394881802788
0,0,0,3,77,58.86068784360217,0.2963312867474243,23.205989790319784,0.951877189887963,42.370298646110214,0.8085631301247792,0.565,0.43458256457497796,0.19000000000000003,1.0920593722627987,0.24499999999999997,0.8214127264284943,13.907793485750043,1.11359837819659
0,0,0,3,78,67.7346868952922,0.2751516911816635,67.56150916585382,0.3477648528620772,57.01342356284997,0.5132665509147404,0.315,0.6696832733247297,0.37,0.595369984527939,0.315,0.5941371048544386,2.8500327841734636,6.295408472427383
0,0,0,3,79,69.65090809171843,0.44041637704145187,73.7199067306463,0.11927343075856567,83.44466498164326,0.3383962589289224,0.30999999999999994,0.6610935978038452,0.385,0.5915490814412323,0.30500000000000005,0.7173394440695956,13.674186803519703,0.7755421653231006
