id_trainer_scenario,id_trainer_params_scenario,id_path,id_generation,total_accumulated_payoff_mean,total_accumulated_payoff_cov
0,0,0,0,102.75173116978397,0.9403677294765139
0,0,0,1,169.81178790639038,0.3609461939270019
0,0,0,2,255.60875526382148,0.33023782288683196
0,0,0,3,300.3680834429779,0.2028249046077347
0,0,0,4,358.35183648264376,0.21582239594056965
0,0,0,5,376.3756417764686,0.1917375763930313
0,0,0,6,428.0872493380828,0.12073035713283665
0,0,0,7,425.1303744714558,0.17014385015323902
0,0,0,8,474.7439955545302,0.1280804553603232
0,0,0,9,473.93113782377,0.15216738446938277
0,0,0,10,475.12163776013085,0.17692033959041015
0,0,0,11,518.4981879261729,0.10825917537471254
0,0,0,12,544.7907750996575,0.0982385041830817
0,0,0,13,573.1832159419688,0.13627560988800397
0,0,0,14,560.4728762644303,0.13814244896737773
