id_trainer_scenario,id_trainer_params_scenario,id_path,id_generation,id_chromosome,total_accumulated_payoff
0,0,0,0,0,139.47779770929688
0,0,0,0,2,31.577209280888233
0,0,0,0,1,18.896973962096787
0,0,0,0,3,91.70628241070912
0,0,0,0,4,41.214071602514935
0,0,0,0,6,177.05825587269604
0,0,0,0,5,140.3781380430064
0,0,0,0,7,28.37612071571564
0,0,0,0,8,110.23632461664079
0,0,0,0,9,51.650487513582746
0,0,0,0,10,78.82481772302822
0,0,0,0,11,77.78674676273562
0,0,0,0,12,208.00385031221674
0,0,0,0,14,114.99170130710213
0,0,0,0,13,90.80850217563412
0,0,0,0,15,91.20946203107924
0,0,0,0,16,83.00246245937797
0,0,0,0,18,70.67802767192428
0,0,0,0,17,127.40179970022231
0,0,0,0,19,84.48154811199963
0,0,0,1,1,189.82909992965864
0,0,0,1,0,107.91292353734201
0,0,0,1,2,184.67654039055907
0,0,0,1,3,275.9153661664312
0,0,0,1,4,323.3918734262686
0,0,0,1,5,180.40962052083583
0,0,0,1,6,171.58511061989375
0,0,0,1,7,277.3487727654129
0,0,0,1,9,214.42111913711094
0,0,0,1,8,214.32908064881326
0,0,0,1,10,40.847690667870275
0,0,0,1,11,76.40908747452127
0,0,0,1,12,202.06778198024998
0,0,0,1,13,178.15937159964406
0,0,0,1,14,199.71655822316018
0,0,0,1,15,68.11443319679825
0,0,0,1,16,238.86574098973068
0,0,0,1,17,181.9852251463427
0,0,0,1,19,244.03110840285538
0,0,0,1,18,251.42764157910707
0,0,0,2,0,104.63246900513421
0,0,0,2,3,390.40842424084303
0,0,0,2,2,310.8058215277466
0,0,0,2,1,348.8517159520696
0,0,0,2,4,200.3441674741015
0,0,0,2,5,251.84449085527126
0,0,0,2,6,318.9197500080816
0,0,0,2,7,429.1000981616618
0,0,0,2,8,241.9895299577005
0,0,0,2,9,289.70282256446364
0,0,0,2,10,223.94957838864397
0,0,0,2,11,299.7704326698268
0,0,0,2,12,309.2210321559465
0,0,0,2,13,262.8959423727063
0,0,0,2,14,292.79444653651876
0,0,0,2,15,218.12999238890905
0,0,0,2,16,177.0813948149413
0,0,0,2,17,211.43441874240065
0,0,0,2,18,308.56256520707524
0,0,0,2,19,214.89475029536138
0,0,0,3,1,393.22294702675157
0,0,0,3,0,458.6863981454967
0,0,0,3,2,176.25163769340392
0,0,0,3,3,353.1078132932617
0,0,0,3,4,314.5016980180562
0,0,0,3,6,257.67516890540435
0,0,0,3,5,305.8523798417713
0,0,0,3,7,342.6861540351597
0,0,0,3,8,412.5551739977893
0,0,0,3,9,311.3163747904301
0,0,0,3,10,262.56186080687854
0,0,0,3,11,240.85400466957537
0,0,0,3,12,290.22899146275904
0,0,0,3,13,322.3730541434495
0,0,0,3,14,324.94336604009857
0,0,0,3,15,416.4963466134524
0,0,0,3,16,288.90930025595736
0,0,0,3,18,344.8776469597982
0,0,0,3,19,377.1592845402393
0,0,0,3,17,303.43835237888254
0,0,0,4,0,286.0482965269848
