id_trainer_scenario,id_trainer_params_scenario,id_path,id_generation,id_chromosome,agent_id,strategy_param_1,strategy_param_2,strategy_param_3,share_rock,share_paper,share_scissors,utility
0,0,0,0,0,0,99.66559408102,74.18252075806384,29.541959139225433,0.5,0.3,0.2,-7.764841850222133
0,0,0,0,0,1,17.185855936161037,93.43873223297192,23.403127396293126,0.2,0.8,0.0,-1.7319244519787547
0,0,0,0,0,2,97.8222726477547,99.00960916338022,15.393484556286607,0.8,0.0,0.2,-23.623497130977317
0,0,0,0,0,3,3.533947678443651,71.04775733040317,8.737522884459667,0.0,0.9,0.1,20.56098720763189
0,0,0,0,0,4,50.52260461584357,27.3719446284738,12.651617089010303,0.8,0.2,0.0,7.506463863615786
0,0,0,0,0,5,70.20184220086587,64.95421319927055,38.81139390536511,0.5,0.5,0.0,32.33367668968384
0,0,0,0,0,6,59.743789419161644,40.19053817931045,79.30881853752247,0.2,0.4,0.4,-2.0509387176093536
0,0,0,0,0,7,1.3516665310660918,19.350440463449985,91.31427355493746,0.0,0.2,0.8,-17.259358945896153
0,0,0,0,0,8,89.87664520005258,15.955502745837135,85.47684463720587,0.5,0.1,0.4,16.396967155705255
0,0,0,0,0,9,27.017535389514887,69.76628123320825,0.0592529809029687,0.2,0.8,0.0,7.159809610495345
0,0,0,0,0,10,30.4371375106059,97.5042699279946,97.58139834293117,0.0,0.6,0.4,24.128517861467053
0,0,0,0,0,11,11.759097084945266,60.48953297671872,96.02459645417908,0.1,0.2,0.7,14.508214770035545
0,0,0,0,0,12,76.01929164047787,7.503748387321734,20.222700847548296,0.8,0.1,0.1,-2.7173402217014724
0,0,0,0,0,13,60.28727056308213,73.05725652320722,7.29150815555502,0.2,0.8,0.0,-31.45677600488198
0,0,0,0,0,14,68.88857298425275,74.25228203846706,51.590469574360235,0.6,0.2,0.2,28.292456105411112
0,0,0,0,0,15,21.39698990565478,22.624648965874254,43.54799649405459,0.3,0.2,0.5,-9.709753405290396
0,0,0,0,0,16,29.10071188811731,93.0281515734286,36.61532620282925,0.3,0.5,0.2,-7.059844353786861
0,0,0,0,0,17,99.03856510153801,84.06225943936464,99.19369215927674,0.5,0.2,0.3,-17.407572362624812
0,0,0,0,0,18,69.19580514405996,45.68711195511293,9.622490979581535,0.5,0.4,0.1,19.996893892056015
0,0,0,0,0,19,49.84878002695918,33.27222068740252,61.13129622526743,0.6,0.2,0.2,-23.759028935425242
0,0,0,0,0,20,88.44659259597019,97.29768021688939,68.46046259763614,0.3,0.3,0.4,-10.3211904969495
0,0,0,0,0,21,41.50266298667568,85.4325047393146,85.79212938500221,0.2,0.4,0.4,-1.7471328568324929
0,0,0,0,0,22,64.56012514591963,73.99703705293162,11.70581052933994,0.2,0.6,0.2,-1.6528522838779969
0,0,0,0,0,23,65.93086516445071,29.401625955201744,6.546450051453713,0.4,0.4,0.2,-25.222723255246827
0,0,0,0,0,24,98.35393418991173,81.49447926846022,97.26133330233891,0.3,0.1,0.6,30.90018461904799
0,0,0,0,0,25,45.06670505206019,88.92404967093763,26.664115587718225,0.2,0.7,0.1,7.901844912372295
0,0,0,0,0,26,32.311191100549166,43.870892755442426,79.1671621303059,0.2,0.2,0.6,4.646060368507571
0,0,0,0,0,27,86.63413444960919,77.0200238835826,59.464243618502834,0.5,0.4,0.1,5.6755768188820195
0,0,0,0,0,28,53.22822649647156,98.14978230892314,92.71270589308178,0.4,0.4,0.2,-5.7589859171783795
0,0,0,0,0,29,70.06733835144867,69.61428937997158,9.85778628932156,0.7,0.2,0.1,-11.807169756533252
0,0,0,0,0,30,64.70698503893524,84.17999650120714,41.947075244610026,0.2,0.4,0.4,19.108771263841266
0,0,0,0,0,31,46.86661045948329,71.54120633251705,5.3877297274905285,0.3,0.6,0.1,25.156249085748975
0,0,0,0,0,32,27.402772152589094,0.6185949217435671,8.504093200212312,0.7,0.0,0.3,-5.310188249021656
0,0,0,0,0,33,61.81149851152292,16.871012262762324,38.87990348815343,0.3,0.0,0.7,14.650632186032055
0,0,0,0,0,34,87.3605005359948,86.87461536375376,95.08230656876006,0.4,0.2,0.4,-1.6448810900316815
0,0,0,0,0,35,98.93001311600287,70.97803777325379,48.179659138897605,0.2,0.4,0.4,-10.204732219712385
0,0,0,0,0,36,65.14634282269137,26.53870144717106,80.6979167877386,0.3,0.2,0.5,4.004425516931512
0,0,0,0,0,37,89.8373359344802,13.27703674298744,79.18199772727476,0.5,0.0,0.5,3.6013757677069007
0,0,0,0,0,38,91.85393404090011,23.717291576700898,44.17153264114455,0.3,0.5,0.2,20.782850107824366
