id_calibrator_scenario,id_calibrator_params_scenario,id_path,id_generation,id_chromosome,num_susceptible,infection_prob,distance
0,0,0,0,0,0,0.8664159119866331,0.03999999999999998
0,0,0,0,3,0,0.5498394000198366,0.03999999999999998
0,0,0,0,4,43,0.17887251947417812,0.0002250000000000004
0,0,0,0,2,3,0.33980819555813263,0.03422499999999998
0,0,0,0,1,14,0.2701512920478214,0.01689999999999997
0,0,0,0,7,36,0.23177514476886574,0.0004000000000000007
0,0,0,0,5,0,0.8501728071045463,0.03999999999999998
0,0,0,0,6,49,0.1880507511196222,0.002025000000000004
0,0,0,0,9,0,0.7435512050720602,0.03999999999999998
0,0,0,0,10,0,0.8514011489955825,0.03999999999999998
0,0,0,0,8,24,0.2493305155221216,0.006399999999999993
0,0,0,0,11,2,0.46453448894110827,0.03609999999999998
0,0,0,0,12,144,0.10403521755384486,0.27040000000000003
0,0,0,0,13,1,0.6221818708944007,0.03802499999999998
0,0,0,0,14,8,0.3466441852125947,0.025599999999999973
0,0,0,0,15,0,0.5512508487766172,0.03999999999999998
0,0,0,0,18,173,0.04834021255655332,0.44222500000000003
0,0,0,0,16,30,0.28196168488834294,0.0024999999999999935
0,0,0,0,17,67,0.16453677777693007,0.018225
0,0,0,0,19,5,0.4114334978751974,0.030624999999999975
0,0,0,0,20,20,0.2609959487605954,0.009999999999999995
0,0,0,0,22,1,0.5132180268709325,0.03802499999999998
0,0,0,0,21,43,0.17682019668729163,0.0002250000000000004
0,0,0,0,25,82,0.12309359049675367,0.044099999999999986
0,0,0,0,24,10,0.30551380549473184,0.022499999999999975
0,0,0,0,23,11,0.27071587155053367,0.021024999999999974
0,0,0,0,28,4,0.4565311930175249,0.03239999999999998
0,0,0,0,27,0,0.7408427493495892,0.03999999999999998
0,0,0,0,26,0,0.5278742055832335,0.03999999999999998
0,0,0,0,30,5,0.4264864081299448,0.030624999999999975
0,0,0,0,29,0,0.8763342005477948,0.03999999999999998
0,0,0,0,31,0,0.9351877989791793,0.03999999999999998
0,0,0,0,32,125,0.10130387347315577,0.18062500000000004
0,0,0,0,34,26,0.2565403483608121,0.004899999999999993
0,0,0,0,33,0,0.9475322535114556,0.03999999999999998
0,0,0,0,36,0,0.5599636838049606,0.03999999999999998
0,0,0,0,35,13,0.2751485835920989,0.018225
0,0,0,0,38,1,0.4890326616871772,0.03802499999999998
0,0,0,0,39,15,0.2782919181207132,0.015625
0,0,0,0,37,0,0.9573895064507023,0.03999999999999998
0,0,0,0,42,0,0.7470683827849028,0.03999999999999998
0,0,0,0,40,0,0.8506610920798651,0.03999999999999998
0,0,0,0,41,0,0.7352045837752058,0.03999999999999998
0,0,0,0,43,12,0.23492610875021935,0.01959999999999997
0,0,0,0,44,8,0.36640446780752417,0.025599999999999973
0,0,0,0,45,2,0.48662938407428036,0.03609999999999998
0,0,0,0,47,1,0.5111962218950035,0.03802499999999998
0,0,0,0,46,27,0.25480083313623914,0.004224999999999993
0,0,0,0,48,37,0.1920180665440868,0.00022499999999999707
0,0,0,0,49,0,0.8090805746503803,0.03999999999999998
0,0,0,1,0,58,0.1897597485332377,0.008100000000000015
0,0,0,1,1,53,0.23177514476886574,0.004225000000000007
