id_calibrator_scenario,id_calibrator_params_scenario,id_path,id_generation,infection_prob_mean,infection_prob_cov,num_susceptible_mean,num_susceptible_cov,distance_mean,distance_cov
0,0,0,0,0.5203622464160645,0.5457736247110241,22.62,2.013392277688773,0.058368500000000004,1.706245324086807
0,0,0,1,0.4525592999214167,0.49011467950563936,12.84,1.5247303854847687,0.027831999999999985,0.5373716910556178
0,0,0,2,0.28730489581982277,0.43813376277071747,25.82,1.0656854785661722,0.023576499999999997,1.5306543305739662
0,0,0,3,0.2431282282121903,0.3736456021637123,35.8,0.7428620129749464,0.017768999999999993,2.072091828363592
0,0,0,4,0.2529039985961807,0.5376882542527597,31.6,0.8022087888903738,0.017507999999999996,3.8890752969669906
0,0,0,5,0.2325608258119645,0.3845246092970591,32.14,0.7116467117237641,0.014361499999999996,3.4199863007033136
0,0,0,6,0.2160616764959449,0.40294371249052885,42.86,0.5931816050030178,0.0160405,3.8857220419644625
0,0,0,7,0.2076825537304209,0.194067551756635,41.14,0.7040972434157527,0.020589500000000004,4.188762489415328
0,0,0,8,0.2325698285661969,0.5044529353515507,36.18,0.47561749909628764,0.0076195,1.9736892975211564
0,0,0,9,0.20577778455951354,0.11487944317825183,39.72,0.33198201490464463,0.004262,1.202906147442061
0,0,0,10,0.23821791242914142,0.6574173964748918,41.14,0.8958283845743378,0.0333095,2.6622283933849245
0,0,0,11,0.2064052307527981,0.45272880285040173,44.34,0.7021225708638087,0.024216500000000005,3.7257294077911696
0,0,0,12,0.20894675404933202,0.09305560520270609,36.28,0.3309500766940132,0.003877999999999997,2.3483540123623006
0,0,0,13,0.20179688870917287,0.13890763392202984,38.8,0.5812482792976194,0.012497000000000001,4.982336432337376
0,0,0,14,0.19947280481571056,0.03303650097248581,40.7,0.3487908696626387,0.0049495,1.557451899907007
0,0,0,15,0.22056763128380802,0.5465006100367683,43.0,0.5778248216254513,0.01535,4.134730912571125
0,0,0,16,0.22164506259965971,0.5580056505221895,43.56,0.6437973855959234,0.019585000000000005,3.611218450974857
0,0,0,17,0.22428347994598344,0.5426077000719629,41.2,0.5722796403821847,0.013656,4.642406371160306
0,0,0,18,0.21651471339960782,0.40098667393383325,38.42,0.3694835599700304,0.004999499999999999,1.8348511940086207
0,0,0,19,0.21055901000221255,0.42176745348116046,44.14,0.5399356397530476,0.0143445,4.690354767903257
0,0,0,20,0.19834852866003921,0.1583556553574422,43.36,0.6372921649345661,0.018990000000000003,4.077299461491398
0,0,0,21,0.21683347193505806,0.4067205583252084,36.8,0.574796398101851,0.011217999999999995,4.453626340846333
0,0,0,22,0.2214505115548062,0.39368911038946414,36.32,0.3446712510672321,0.0041779999999999986,1.6154484397039948
0,0,0,23,0.21940078278185104,0.5645764263713446,41.66,0.7011793449298969,0.020974499999999997,3.9848582003150446
0,0,0,24,0.2098676289949722,0.4295802708944261,46.5,0.538875022423262,0.016439500000000003,3.9233860148171202
0,0,0,25,0.21267755643887662,0.40378935919969405,40.24,0.4436540614348054,0.007809999999999999,2.8172237195017416
0,0,0,26,0.20144471317072427,0.13442838646407557,41.02,0.4179578464315076,0.0072275,2.967472561914891
0,0,0,27,0.20086762136551944,0.3873445746542258,48.68,0.6028397106066029,0.022983000000000003,3.4786480694216273
0,0,0,28,0.2105402415484737,0.6165168742399308,49.4,0.6655642672216204,0.028694000000000008,3.2942120656527965
0,0,0,29,0.19581967025505262,0.16880021778745014,47.8,0.4585400696715043,0.013291000000000004,2.9732969149295956
0,0,0,30,0.19821425029182652,0.13824033756247156,44.92,0.49171421472752996,0.012558,4.897404388404795
0,0,0,31,0.19651211938567645,0.18825912534243164,44.74,0.6530522646795835,0.021476500000000006,3.9837983730680446
0,0,0,32,0.22116440707708038,0.5727912185113393,45.04,0.7823571095422196,0.031056000000000004,3.134256286539376
0,0,0,33,0.20238969718702077,0.0842060594813705,39.68,0.3501467941497295,0.004731999999999999,1.7376873200335399
0,0,0,34,0.22181764082062394,0.5541108047105057,43.46,0.5681676677381164,0.0152375,3.349295772771783
0,0,0,35,0.19561367503109,0.1987198748822951,46.74,0.6128839330708195,0.0212405,3.495984786680251
0,0,0,36,0.19746824240297245,0.14933798623851904,44.5,0.5933753263604474,0.017588500000000003,3.647363205796648
0,0,0,37,0.20069778974754138,0.06742533576062099,43.62,0.299442695130434,0.004507500000000001,1.386174570917772
0,0,0,38,0.21308939429774704,0.4394826292152285,41.24,0.5341271600985963,0.011925999999999999,4.842300685105861
0,0,0,39,0.21983886595814484,0.5733597851297955,43.22,0.7037564946056024,0.0229255,3.6498122037281817
0,0,0,40,0.20558872672063233,0.45988377258205015,47.48,0.7009920448333347,0.02853900000000001,3.243016327149302
0,0,0,41,0.2148650731283045,0.4165132736404911,38.42,0.571387893194852,0.011869499999999998,4.637525946135481
0,0,0,42,0.2151618588398654,0.4246884896729641,41.76,0.5453224453694672,0.012783,3.591664345774128
0,0,0,43,0.2266560871588681,0.5382336070928896,40.7,0.526365959169064,0.011256499999999997,2.993091241840052
0,0,0,44,0.19375208856268739,0.19494280129667246,46.74,0.6749061849554129,0.025515500000000007,3.2212341731915832
0,0,0,45,0.20292909949569318,0.07864377768587247,42.84,0.2962175695435636,0.004147000000000001,2.7027341224716417
0,0,0,46,0.2123084435153466,0.433290858018721,41.14,0.5686366309818545,0.0134405,4.289599608481941
0,0,0,47,0.21336085022621326,0.43014914181014213,44.5,0.6900854718527727,0.023610499999999996,3.602983495791389
0,0,0,48,0.22089585034065506,0.550854782900596,39.72,0.5940833451354371,0.013643999999999996,4.135672982223278
0,0,0,49,0.19908141389018166,0.10222914247000967,41.6,0.3525566694425989,0.005334000000000001,1.8106033016195466
